hoàn_cảnh	biết_đủ	chưa_xác_định	chịu_đựng_bất_định	hiểu_mình	kết_nối	làm_rõ_giá_trị	mở_rộng_góc_nhìn	nhận_biết_cảm_xúc	phán_đoán_độc_lập	quyền_tự_chủ	sức_bền	sự_hiện_diện	trách_nhiệm	tự_cảm_thông	điều_hòa_cảm_xúc	tổng
bất_định	1	0	10	1	3	1	1	1	3	2	4	2	3	0	2	34
chưa_xác_định	0	0	0	2	0	0	1	0	0	0	0	0	2	0	0	5
cô_đơn	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	9
cạn_năng_lượng	12	0	0	2	0	1	0	3	1	0	0	1	0	3	4	27
do_dự	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	7
hồi_phục	0	1	1	2	1	0	0	0	0	1	5	0	0	2	0	13
không_gắn_hoàn_cảnh_cụ_thể	0	0	0	2	2	0	4	0	1	0	0	5	1	0	0	15
khủng_hoảng_bản_sắc	1	0	0	3	0	0	0	0	0	3	0	0	1	2	0	10
mâu_thuẫn_quan_hệ	0	0	0	4	9	1	2	0	2	1	0	0	7	0	1	27
mất_mát	2	1	0	0	3	0	1	2	0	0	0	0	0	0	0	9
quá_tải	5	0	0	1	0	2	1	0	6	6	0	4	0	0	1	26
so_sánh	2	0	0	7	0	3	2	0	0	3	0	1	1	1	0	20
thay_đổi	0	0	2	9	1	2	6	0	2	3	3	0	1	0	0	29
thất_bại	0	0	2	2	0	3	7	0	1	3	2	0	4	3	0	27
tìm_ý_nghĩa	2	2	0	0	2	9	2	0	0	0	0	1	3	0	0	21
tổn_thương_cảm_xúc	0	0	1	4	1	0	2	10	1	3	1	0	0	3	10	36
xao_lãng	0	0	0	2	0	1	0	0	0	2	0	14	0	0	0	19
áp_lực_công_việc	2	0	1	2	0	3	0	0	3	2	3	1	5	0	2	24
định_hướng_công_việc	0	0	0	1	0	7	0	0	5	4	3	0	4	0	0	24
tổng	27	4	17	44	31	33	29	16	26	38	21	30	32	14	20	382
