năng_lực_được_hỗ_trợ	buông	chưa_xác_định	chấp_nhận_giới_hạn	chậm_lại	giữ_hai_mặt	gọi_tên	hành_động	kết_nối_lại	làm_rõ_giá_trị	lựa_chọn	nhận_ra	phân_biệt_kiểm_soát	đặt_lại_giả_định	đổi_khung_nhìn	tổng
biết_đủ	4	0	12	0	1	0	0	0	0	0	2	0	1	7	27
chưa_xác_định	1	1	1	0	0	0	0	0	0	0	0	0	1	0	4
chịu_đựng_bất_định	4	0	5	0	1	0	0	0	0	1	2	0	2	2	17
hiểu_mình	0	0	2	1	0	6	0	1	0	0	23	0	9	2	44
kết_nối	1	0	5	1	3	0	1	11	1	0	4	0	2	2	31
làm_rõ_giá_trị	0	0	0	1	2	0	0	1	9	8	5	0	4	3	33
mở_rộng_góc_nhìn	1	0	2	1	3	0	0	1	0	0	4	0	7	10	29
nhận_biết_cảm_xúc	0	0	0	1	0	2	0	2	0	0	8	0	0	3	16
phán_đoán_độc_lập	1	0	2	2	2	1	0	0	0	4	5	2	6	1	26
quyền_tự_chủ	0	0	0	2	0	0	16	0	2	5	2	2	5	4	38
sức_bền	0	0	3	0	1	0	6	0	0	0	1	0	0	10	21
sự_hiện_diện	0	0	2	11	0	0	0	1	1	0	11	0	2	2	30
trách_nhiệm	0	0	2	1	0	1	13	0	1	1	6	5	0	2	32
tự_cảm_thông	0	0	4	0	1	0	0	1	0	0	2	0	0	6	14
điều_hòa_cảm_xúc	5	1	5	4	0	0	1	2	0	0	0	0	2	0	20
tổng	17	2	45	25	14	10	37	20	14	19	75	9	41	54	382
