năng_lực	tổng_thô	không_tính_lặp	độ_tin_cậy_trung_bình_trở_lên	phát_hành	truyện_chính	truyện_phụ
biết_đủ	27	27	27	3	0	0
chưa_xác_định	4	4	0	0	0	0
chịu_đựng_bất_định	17	17	15	3	1	0
hiểu_mình	45	44	41	4	1	0
kết_nối	32	31	29	3	0	1
làm_rõ_giá_trị	33	33	30	4	1	1
mở_rộng_góc_nhìn	30	29	27	4	0	3
nhận_biết_cảm_xúc	16	16	16	1	0	0
phán_đoán_độc_lập	27	26	21	4	2	1
quyền_tự_chủ	40	38	34	6	0	1
sức_bền	22	21	21	3	0	0
sự_hiện_diện	30	30	28	4	0	0
trách_nhiệm	32	32	31	7	1	0
tự_cảm_thông	14	14	14	0	0	0
điều_hòa_cảm_xúc	20	20	19	7	1	0
