hoàn_cảnh	tổng_thô	không_tính_lặp	độ_tin_cậy_trung_bình_trở_lên	phát_hành	truyện_chính	truyện_phụ
bất_định	37	34	28	8	1	2
chưa_xác_định	5	5	3	1	0	0
cô_đơn	9	9	8	1	0	0
cạn_năng_lượng	27	27	27	0	0	0
do_dự	7	7	6	1	0	0
hồi_phục	13	13	12	0	0	0
không_gắn_hoàn_cảnh_cụ_thể	15	15	12	3	0	0
khủng_hoảng_bản_sắc	11	10	10	2	1	1
mâu_thuẫn_quan_hệ	27	27	27	6	1	0
mất_mát	10	9	8	0	0	2
quá_tải	26	26	26	7	0	0
so_sánh	21	20	20	2	0	1
thay_đổi	29	29	29	3	1	0
thất_bại	27	27	26	5	0	0
tìm_ý_nghĩa	21	21	18	4	2	0
tổn_thương_cảm_xúc	36	36	35	6	0	1
xao_lãng	19	19	19	2	0	0
áp_lực_công_việc	24	24	23	0	0	0
định_hướng_công_việc	25	24	16	2	1	0
